platform,scenario_id,concurrency,n_requests,successful_requests,success_rate,benchmark_duration_s,req_throughput,output_tok_throughput,total_tok_throughput,total_input_tokens,total_output_tokens,cost_per_1k_output_tokens,estimated_total_cost_usd,cold_start_ttft_ms,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,p50_itl_ms,p95_itl_ms,p99_itl_ms,mean_e2e_ms,p95_e2e_ms,p99_e2e_ms,mean_tps,std_tps
simplismart,E01,1,15,15,100.0,4.937,3.04,132.67,154.75,109,655,0.0001,6.6e-05,390.91,161.63,152.71,217.92,225.59,3.95,4.22,4.92,5.51,3.86,4.12,4.88,5.49,328.9,422.65,426.78,133.61,16.53
simplismart,E02,1,15,15,100.0,11.577,1.3,191.76,210.76,220,2220,0.0001,0.000222,390.91,143.48,127.94,199.21,205.15,4.27,4.21,4.67,4.68,4.26,4.2,4.66,4.67,771.49,832.15,833.55,192.18,8.24
simplismart,E03,5,15,15,100.0,3.456,4.34,184.03,215.57,109,636,0.0001,6.4e-05,390.91,419.06,139.98,1809.41,2961.04,4.34,4.5,5.42,5.57,4.23,4.32,5.39,5.53,599.12,1991.93,3160.78,116.61,39.87
fireworks,E06,1,15,15,100.0,23.163,0.65,28.75,40.24,266,666,0.0001,6.7e-05,1411.6,1343.15,1358.18,1462.59,1474.77,4.82,4.51,7.85,9.31,5.0,4.56,8.38,10.04,1544.05,1638.51,1646.41,28.8,4.49
fireworks,E07,1,15,15,100.0,31.628,0.47,70.35,82.4,381,2225,0.0001,0.000223,1411.6,1437.32,1237.39,2282.96,3823.86,4.56,4.65,4.92,5.18,4.58,4.67,4.97,5.24,2108.24,2914.02,4507.04,74.67,12.65
fireworks,E08,5,15,15,100.0,5.019,2.99,134.49,187.49,266,675,0.0001,6.8e-05,1411.6,1322.01,1313.64,1619.34,1815.15,5.09,5.14,6.42,6.92,5.26,5.21,6.72,7.28,1542.77,1864.38,2050.54,29.51,4.62
